cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change Percent
9_42,"['3_53', '5_9']",1,inf,70.6384,20.2781,0.008290056812950435
41_58,"['40_71', '40_88']",1,inf,55.1286,16.6299,0.018078039371750333
48_88,"['35_88', '35_88']",1,inf,17.658,24.774,0.028071348892599775
49_0,"['46_38', '46_38']",1,inf,71.1315,20.0543,0.008881611891176394
61_80,"['59_78', '59_78']",1,inf,48.2228,17.0309,0.09707496095168867
63_11,"['62_79', '56_62']",1,inf,39.9136,40.3493,0.013760445558099058
62_42,"['58_83', '61_55']",1,0.5147639972329945,40.832,19.6077,0.05070584124665778
64_57,"['9_42', '63_27']",1,0.3362853334845336,69.3466,21.5214,0.010949104037656249
64_21,"['63_11', '62_79']",1,0.33604335385449896,28.3484,32.762,0.017298016155825872
64_26,"['62_16', '61_80']",1,0.3349507341677631,49.3083,16.8997,0.07682829593450291
64_63,"['63_66', '63_11']",1,0.31120105992461267,32.7479,35.9273,0.015019998786805407
64_39,"['61_80', '41_58']",1,0.2750738243583555,42.3398,21.4551,0.03551881828834417
62_16,"['58_83', '58_83']",1,0.24947950093433743,49.6617,16.8942,0.07823137371240008
64_66,"['61_80', '63_51']",1,0.2380697511104452,48.3649,16.9102,0.0961983091330538
64_10,"['63_39', '63_11']",1,0.21963427764706703,26.3514,28.946,0.017991690024526268
64_52,"['63_11', '62_16']",1,0.2036889824239232,45.6614,18.499,0.02723123961460917
64_85,"['63_68', '41_58']",1,0.18871176646409307,33.6767,34.2706,0.017231701059547303
64_65,"['48_88', '63_59']",1,0.14866710993168167,36.3464,26.7239,0.018954198832246433
64_58,"['63_39', '9_42']",1,0.11354633628779205,32.0731,24.4712,0.02053396866128206
64_33,"['63_66', '63_41']",1,0.11321483680824407,53.0876,19.2342,0.016048685412129126
64_73,"['63_79', '62_16']",1,0.10731982563869127,43.1799,20.8948,0.02446226365042991
64_78,"['48_88', '63_32']",1,0.09857902961352444,18.3029,24.0346,0.02949060957079445
64_79,"['63_66', '63_79']",1,0.0954587749629129,52.2319,21.7503,0.011881951509178618
64_84,"['63_51', '41_58']",1,0.09228297029894977,37.4849,23.703,0.019439648107238416
64_75,"['63_76', '48_88']",1,0.08846618721201135,21.161,28.1653,0.022321495246252078
64_64,"['63_59', '63_73']",1,0.08575990739615844,23.14,22.3858,0.023383439863542837
64_68,"['63_41', '48_88']",1,0.08420766456345669,20.0113,22.2058,0.029453827717064025
64_27,"['63_11', '63_39']",1,0.08285317152140417,23.9452,28.923,0.01901109028113555
64_22,"['63_41', '63_39']",1,0.08003343015551415,21.2391,26.1164,0.0238722264080618
64_11,"['62_42', '63_11']",1,0.07920485703816696,41.2972,25.2427,0.016898266747096612
64_20,"['63_39', '48_88']",1,0.07870269213463027,18.4557,27.745,0.02481217542370317
64_76,"['63_79', '63_32']",1,0.07609758708987385,18.9456,24.8995,0.024987411488882453
64_29,"['62_16', '63_11']",1,0.06308480656125035,43.0435,22.9988,0.021318107231991814
64_31,"['63_76', '63_75']",1,0.06104727918755441,26.5653,24.5664,0.01998360404263514
64_67,"['62_79', '63_39']",1,0.05809160663135255,23.8127,25.9916,0.02041057820236019
64_37,"['41_58', '63_68']",1,0.057730521211330134,51.0137,20.2544,0.013419194194845056
64_87,"['41_58', '61_80']",1,0.053688448126319704,47.2473,19.9913,0.018189850348164043
64_53,"['63_68', '63_26']",1,0.04589871779916769,41.8928,23.5624,0.019349954503868
64_19,"['41_58', '9_42']",1,0.038035581437575745,50.3744,19.3977,0.022724574931509246
64_54,"['61_80', '63_74']",1,0.03700361172053661,43.1422,22.8676,0.01823072157797479
64_3,"['63_54', '49_0']",1,0.033560795926266436,42.4118,24.0671,0.01933588522613305
64_83,"['63_29', '63_59']",1,0.03178609302343366,50.4399,19.9578,0.019172905614421365
64_17,"['63_79', '62_42']",1,0.03071790014553074,33.632,23.5973,0.023008333000890526
64_18,"['49_0', '9_42']",1,0.024320311432900373,70.7121,20.2055,0.008606144888732641
63_79,"['61_28', '62_66']",2,inf,39.4968,36.5939,0.01570500204489538
64_16,"['49_0', '62_16']",2,inf,65.1034,18.9176,0.024323627705924892
64_25,"['48_88', '48_88']",2,inf,18.0184,25.3768,0.02808331716934202
64_51,"['61_80', '9_42']",2,inf,53.321,22.0571,0.01414408076512633
64_59,"['62_16', '61_80']",2,inf,48.4514,17.1914,0.09951031527077839
64_82,"['49_0', '62_16']",2,0.7883675173627993,61.2026,18.5145,0.05591048973127431
64_14,"['63_59', '48_88']",2,0.41634980680003936,20.8002,27.3514,0.025495309536711124
64_46,"['62_79', '63_11']",2,0.38954385348850995,31.1845,33.9627,0.017391576053693292
64_44,"['63_66', '41_58']",2,0.29920347695069344,25.7666,30.953,0.019457514670066726
64_5,"['61_80', '62_42']",2,0.28696298842352264,49.1587,19.3446,0.05061721273314374
64_35,"['63_11', '63_35']",2,0.2786145911371591,28.5311,30.611,0.022990481047874746
64_9,"['62_16', '63_35']",2,0.26778944227557927,38.7746,22.6191,0.045302748813090175
64_88,"['62_16', '9_42']",2,0.22031940435550224,58.5213,21.3357,0.01840826282442706
64_60,"['63_26', '62_16']",2,0.2079017109144573,31.6927,24.0663,0.038785362568672994
64_56,"['63_29', '63_51']",2,0.18386249246660183,50.7054,18.6627,0.03314888476064364
64_36,"['63_39', '62_42']",2,0.1764963540709311,35.3887,26.3763,0.020072275283094177
64_50,"['62_79', '63_41']",2,0.16233844901953579,53.6133,21.9351,0.014255072873727303
63_29,"['62_42', '62_14']",2,0.15031262464471157,44.2567,21.1456,0.032409604661585774
64_38,"['41_58', '49_0']",2,0.1321094669003536,44.6457,23.9665,0.02078431010175535
64_77,"['63_29', '63_41']",2,0.12980188833619832,41.6884,23.5351,0.031024209158023848
64_24,"['9_42', '63_66']",2,0.12929584978845698,37.0007,24.4657,0.023075558182068384
64_23,"['9_42', '62_79']",2,0.1070968075193133,43.1124,23.8014,0.027186530575508277
64_1,"['63_79', '9_42']",2,0.1056097495886681,33.9787,24.3457,0.02335267620928162
64_47,"['63_32', '63_54']",2,0.08863074149450793,26.5692,30.7426,0.018969304774029715
64_55,"['41_58', '62_16']",2,0.07565167996585981,40.0228,24.2233,0.02257937635245179
64_49,"['63_79', '63_26']",2,0.050667513126563576,41.213,24.0865,0.019884194458227943
64_41,"['49_0', '62_42']",2,0.05045592363997965,53.4892,21.1463,0.02997439359912021
64_2,"['41_58', '48_88']",3,inf,34.9744,41.9827,0.018344174099305773
64_6,"['63_76', '63_26']",3,inf,22.814,29.6718,0.028660165016195734
64_13,"['48_88', '63_29']",3,inf,47.9904,21.2492,0.04083794515593714
64_42,"['41_58', '62_42']",3,inf,46.8401,24.0297,0.04521759374839475
64_45,"['9_42', '62_42']",3,inf,65.1059,21.7672,0.03350163621720419
64_74,"['63_67', '63_27']",3,inf,60.6585,22.5674,0.016770625899688828
64_69,"['63_66', '62_42']",3,0.5923630624101874,30.4875,35.9053,0.020769696625492922
64_71,"['63_11', '62_16']",3,0.4113324779247436,44.6126,24.5528,0.025646048024920754
64_61,"['63_35', '63_74']",3,0.3728594182834623,26.3125,33.1559,0.021642896674512576
64_43,"['62_16', '48_88']",3,0.33720852698407144,23.3625,28.8711,0.032928509249483796
64_7,"['63_11', '63_29']",3,0.32674326130842796,35.4372,29.8899,0.022971997345225807
64_34,"['9_42', '63_68']",3,0.30474161261405863,34.0627,26.8522,0.028959695422040237
64_4,"['49_0', '48_88']",3,0.2947421093881826,37.7763,27.4481,0.02156735908422002
64_70,"['63_29', '63_39']",3,0.2686577637763156,37.5637,32.6914,0.02024201619491292
64_89,"['9_42', '63_11']",3,0.25906680682490235,36.6822,25.9982,0.0282623926461136
64_62,"['62_42', '63_32']",3,0.21512764935756107,31.3895,29.4141,0.0258756999816429
64_12,"['49_0', '62_16']",4,inf,55.2415,21.9793,0.061847210585577204
64_30,"['62_42', '49_0']",4,inf,45.3548,25.8557,0.08219062206957395
64_72,"['48_88', '61_80']",4,inf,28.3535,29.4853,0.03339795517245841
64_86,"['63_66', '63_26']",4,inf,28.753,39.1251,0.02298770505542297
64_28,"['63_74', '62_42']",4,1.1112131792224247,33.3674,31.8077,0.027451893299185275
64_80,"['62_42', '63_51']",4,1.0708127005843573,49.2446,23.6452,0.05385531869668671
64_0,"['63_11', '49_0']",4,1.0030640078979352,38.7862,27.1572,0.033605712172451244
64_8,"['62_16', '63_41']",5,inf,43.5829,30.4573,0.03932674398383473
64_15,"['63_51', '63_26']",5,inf,32.1614,51.0898,0.03266500355595179
64_32,"['63_41', '9_42']",5,inf,49.9451,27.8851,0.038790677216761556
64_81,"['9_42', '62_16']",5,inf,77.9403,46.6973,0.029914695124750344
64_48,"['49_0', '41_58']",5,1.604090983556214,61.4289,40.1535,0.03649135711451253
64_40,"['63_51', '63_39']",5,0.9380336767716201,42.9175,41.739,0.03402461647886056
