cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Average Energy Change Percent
7_13,"['6_89', '6_16']",1,inf,19.0674,27.6038,0.0262640515761897
9_42,"['3_53', '5_9']",1,inf,70.6384,20.2781,0.008290056812950435
11_71,"['8_34', '8_34']",1,inf,55.8007,16.8535,0.018689659683762943
12_24,"['11_71', '10_5']",1,inf,48.516,19.069,0.03472565912690093
12_55,"['7_13', '9_43']",1,inf,28.517,31.6823,0.01661932201495318
12_68,"['10_11', '10_11']",1,inf,70.8144,20.1831,0.00862197141878622
10_12,"['9_10', '7_13']",1,0.29566770554480437,19.1045,24.718,0.028436201071431324
11_52,"['10_53', '8_34']",1,0.2930117416453605,58.421,17.4147,0.018400379910485855
9_10,"['8_20', '7_70']",1,0.282820228376255,20.1876,19.3188,0.03237653770959235
10_5,"['9_13', '9_13']",1,0.27046878595184887,64.8645,21.6438,0.012796452340251176
9_43,"['8_51', '8_81']",1,0.2698662575984344,30.9372,29.6649,0.01670475746436407
12_59,"['11_38', '11_52']",1,0.250312903073508,33.9917,24.1294,0.020069577641819325
12_89,"['10_12', '11_52']",1,0.22915574180640547,39.4006,19.6586,0.022570971557061507
12_67,"['11_27', '9_10']",1,0.22912067404298503,36.2608,22.7718,0.0186913485810525
12_28,"['11_75', '9_42']",1,0.2158206683132166,66.5215,20.9311,0.01447202832532386
12_47,"['9_43', '7_13']",1,0.20252044941224456,21.8606,28.1364,0.021291496528595067
12_76,"['7_13', '11_60']",1,0.1851585691028263,19.9243,27.2798,0.025330599070166843
12_39,"['9_43', '9_43']",1,0.1834498332663075,31.5412,29.5462,0.01645514587138324
12_86,"['10_5', '9_42']",1,0.17786208364160916,69.2855,20.5519,0.010573449189225436
12_50,"['11_27', '11_28']",1,0.16208194179888524,57.3105,21.571,0.013286607044391422
12_30,"['11_26', '11_71']",1,0.15598831219180767,51.8573,17.9209,0.01949453573771603
12_73,"['10_5', '10_11']",1,0.15540598379660608,68.1578,22.556,0.009459326884091328
12_40,"['11_12', '11_52']",1,0.1540736486194465,52.4946,17.9204,0.023463377506504953
12_71,"['11_2', '11_60']",1,0.1363889382250875,22.8697,26.1026,0.021039759418003404
12_9,"['11_12', '11_12']",1,0.13636649595851616,49.1782,18.7833,0.023214178689775506
12_42,"['11_10', '10_12']",1,0.1347693732692744,44.5376,19.9558,0.016055032645522646
12_72,"['11_71', '7_13']",1,0.1254381652371564,23.2556,25.5481,0.02437026016932777
12_19,"['11_38', '9_10']",1,0.1190613940819326,24.7066,24.8395,0.02060683019390438
12_78,"['11_12', '11_33']",1,0.10605344124160247,47.5099,19.2794,0.024376146368340297
12_61,"['11_52', '11_75']",1,0.10387205618622122,43.5019,20.3405,0.021214270173140367
12_3,"['7_13', '9_43']",1,0.10037098542820821,26.1925,27.4789,0.020231111208318112
12_54,"['11_19', '9_43']",1,0.0950140853828528,25.5054,27.8896,0.019178466403312083
12_21,"['11_52', '11_38']",1,0.08759994351987649,45.7796,19.3904,0.020749396303142858
12_57,"['11_61', '9_42']",1,0.08479781080747788,69.4499,20.8673,0.009476113372330425
12_65,"['11_71', '9_10']",1,0.08212671907806766,44.5179,21.7385,0.020798382477377315
12_14,"['11_2', '9_43']",1,0.0766501964244715,22.2308,25.6612,0.022642210024856547
11_12,"['9_42', '8_34']",1,0.05369974108924204,49.0027,18.9174,0.02309323591925961
12_25,"['9_42', '11_27']",1,0.04845065224507019,70.1694,20.4626,0.008617789012273095
