cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Adjusted cost of energy per GJ,Cost of energy next 10 years,Average Energy Change
75_66,"['69_73', '74_23']",1,inf,21.011233333333333,19.990166666666667,9.988385333333333,14.243107687687688
76_61,"['51_66', '51_66']",1,inf,62.50643333333333,23.00843333333333,10.251331666666667,6.871858708708708
78_65,"['62_61', '62_61']",1,inf,65.41926666666667,17.737933333333334,10.059852333333334,6.932374804804804
79_10,"['78_24', '74_82']",1,inf,26.30616666666667,36.488400000000006,9.651610666666667,11.192160120120121
80_32,"['78_31', '78_31']",1,inf,53.08943333333334,23.54296666666667,11.063635,7.917658618618618
81_45,"['80_16', '78_61']",1,inf,35.612500000000004,13.35666,9.935411666666665,15.111873393393395
82_57,"['74_82', '74_82']",1,inf,27.78216666666667,30.214100000000002,9.504589666666666,11.516511531531533
82_66,"['78_61', '78_61']",1,inf,36.43063333333333,13.554596666666667,9.927121999999999,15.944788468468468
82_86,"['79_10', '80_32']",1,0.3339949774254057,38.475899999999996,31.588933333333333,10.817706666666666,8.666692792792793
82_21,"['79_10', '79_10']",1,0.27680308926010877,26.513066666666663,36.070933333333336,9.661261000000001,11.132924204204201
82_18,"['81_76', '78_65']",1,0.23112807299554525,59.246500000000005,22.820700000000002,10.493115,7.264612252252252
82_35,"['81_48', '81_32']",1,0.2221125276102798,46.67756666666667,20.3839,10.323583,8.106962942942944
82_71,"['78_65', '81_48']",1,0.2183930639752547,61.75653333333333,23.917333333333332,10.451753666666667,7.118188108108108
82_28,"['80_32', '74_82']",1,0.2071249475907707,38.499500000000005,27.951800000000002,10.958399,9.298130390390392
82_65,"['76_61', '81_42']",1,0.20656129337508158,52.782666666666664,25.90403333333333,10.624356333333333,7.835091741741741
82_4,"['76_61', '81_76']",1,0.20408077103165895,57.753233333333334,22.501366666666666,10.459431,7.576878378378378
81_48,"['80_88', '80_36']",1,0.18974102472827128,56.975433333333335,27.213866666666664,10.864189000000001,7.346295435435436
82_31,"['79_10', '81_48']",1,0.1868463675061273,47.787366666666664,25.94043333333333,10.674460333333334,7.927617147147148
82_44,"['80_32', '81_48']",1,0.18251573508601376,54.34903333333333,23.586433333333332,10.771045666666666,7.751016726726728
82_33,"['81_30', '74_82']",1,0.1733540471327452,27.254900000000003,24.657799999999998,9.624733,12.064805405405403
82_25,"['81_77', '81_75']",1,0.17087852298898865,31.683466666666664,15.975666666666667,9.812508333333334,13.354621981981984
71_89,"['65_40', '65_40']",1,0.16964709455338717,35.10543333333333,14.203006666666667,9.927121999999999,15.938512012012012
82_10,"['81_76', '81_75']",1,0.16525669507238527,42.8305,26.585799999999995,10.179475000000002,8.906793453453455
82_79,"['81_46', '75_66']",1,0.16519924818822002,24.268600000000003,16.6738,9.970660666666667,13.526303663663663
81_83,"['74_82', '80_77']",1,0.1622160037975785,28.306133333333335,30.460199999999997,9.727130333333333,10.926923303303303
82_47,"['79_10', '81_83']",1,0.15281552496474232,27.651333333333337,24.350600000000004,9.564894333333333,11.811092252252251
82_3,"['81_64', '74_82']",1,0.15060896818018077,41.91406666666667,27.485766666666663,10.309277666666667,9.337093903903904
82_81,"['81_59', '81_3']",1,0.14744900828148108,28.876500000000004,29.111633333333334,10.070338333333334,11.55666216216216
82_84,"['76_61', '81_59']",1,0.1436396309190788,55.41146666666666,23.37506666666667,10.682507666666666,7.824786576576577
82_60,"['81_42', '76_61']",1,0.13921045799851622,51.35906666666667,18.2912,10.170622333333334,8.050610780780781
82_56,"['79_10', '81_42']",1,0.13486624786437298,32.79163333333333,28.440233333333335,10.021658666666665,9.944139939939937
