cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Average Energy Change Percent
100_42,"['95_10', '95_10']",1,inf,14.7525,0.024607696817199782
100_59,"['92_42', '92_42']",1,inf,58.8049,0.007910148761501952
98_36,"['97_42', '96_78']",1,0.37897078467440315,35.8897,0.010140180369035311
97_5,"['91_2', '94_16']",1,0.3196804934399863,28.9921,0.010989485013156799
100_28,"['97_54', '99_51']",1,0.22088402463870338,15.6855,0.022900407776628096
100_78,"['96_20', '98_36']",1,0.21783157032360545,42.6785,0.009849272301446412
100_38,"['99_51', '99_76']",1,0.21159980970159176,23.1416,0.012547378312934074
99_88,"['98_56', '96_22']",1,0.20794667126340027,18.7788,0.01828869373901505
100_41,"['99_76', '95_10']",1,0.2062811278424809,15.9415,0.02064733741869481
99_45,"['98_36', '97_49']",1,0.20581986347808964,45.5027,0.009405182547836798
99_57,"['92_42', '96_20']",1,0.20039514790140228,51.5357,0.008996673879592064
100_52,"['99_18', '99_51']",1,0.1862884447627673,21.8227,0.014213639974438034
100_66,"['99_51', '99_51']",1,0.17108977276454385,19.5757,0.01616684356432273
100_86,"['99_5', '99_60']",1,0.165586093054733,51.9214,0.00849200825378891
99_18,"['98_28', '98_81']",1,0.1442388040108382,24.9949,0.011348513991037737
100_29,"['99_15', '99_51']",1,0.14205851192926022,20.6277,0.014705074117948674
100_5,"['99_2', '98_70']",1,0.13856484749957682,16.5507,0.01978396269318103
99_5,"['98_9', '98_9']",1,0.13713303527471415,57.1516,0.008360433481622442
100_58,"['95_10', '95_10']",1,0.12153505800455391,14.9203,0.02394848509392698
100_74,"['99_18', '98_70']",1,0.11386917704806687,24.0091,0.011509171384468284
99_51,"['97_66', '98_1']",1,0.11142460926535899,19.793,0.015816334709050747
100_33,"['99_45', '99_45']",1,0.0907061201726531,44.6647,0.009828988586758585
100_2,"['99_15', '99_15']",1,0.07734731658555791,17.7375,0.019014397056452394
100_47,"['98_36', '99_55']",1,0.06709942831177136,17.901,0.019004267612282105
100_88,"['99_40', '99_57']",1,0.053971060657411384,58.1589,0.008054558923298663
95_10,"['89_17', '89_17']",1,0.04328865246313041,14.7665,0.024581409024359756
100_55,"['92_42', '99_5']",1,0.04118448194755213,57.2643,0.008227386691793816
100_7,"['92_42', '92_42']",2,inf,59.2214,0.007913342821765031
100_43,"['95_10', '99_88']",2,inf,16.113,0.022472226319907657
100_46,"['99_15', '99_45']",2,0.41703482088375193,30.1509,0.011454747984754722
100_0,"['99_77', '99_76']",2,0.3403949835475532,25.1422,0.012845430718569178
100_64,"['99_5', '99_5']",2,0.33842373892470073,57.1934,0.008437332218084468
100_61,"['99_57', '99_5']",2,0.3041224148385796,49.2321,0.00951979140112608
100_50,"['99_55', '92_42']",2,0.29166513605293143,41.4669,0.010736046942020978
100_37,"['99_51', '99_18']",2,0.2915949237565091,21.6067,0.015801756941878166
100_76,"['99_24', '99_36']",2,0.28507413289015937,23.3979,0.014129846443126226
100_31,"['92_42', '98_36']",2,0.26367238696066736,47.8367,0.009705002005920721
100_51,"['99_5', '96_22']",2,0.23878237012195275,38.9902,0.011450716983826173
100_73,"['99_15', '99_88']",2,0.22752441435934367,21.1404,0.0176127235891534
100_70,"['99_2', '99_18']",2,0.2067906196447642,19.2496,0.018318201366940495
100_34,"['99_88', '95_10']",2,0.19695058175098945,16.3438,0.021334990950617812
100_81,"['95_10', '99_10']",2,0.16113597068389793,18.5856,0.019760538425470604
100_40,"['99_82', '99_36']",2,0.1601475542024415,16.7177,0.019809069443035975
100_85,"['99_36', '92_42']",2,0.10654108493603408,40.3429,0.011420459908603386
92_42,"['86_66', '86_66']",2,0.08303523817169836,59.0931,0.007923048508996245
100_67,"['92_42', '99_5']",3,inf,58.4352,0.008615513816183517
100_71,"['99_82', '99_2']",3,inf,16.9501,0.020329975862669766
100_84,"['99_45', '99_57']",3,0.575864031776565,49.387,0.009577293971453477
100_4,"['92_42', '97_5']",3,0.4401526555166536,42.4948,0.010860239621625996
100_60,"['99_51', '99_45']",3,0.39937844978898474,30.9278,0.011790447183108616
100_25,"['92_42', '99_51']",3,0.3582297663763485,38.5122,0.011662645867756666
100_77,"['97_5', '99_36']",3,0.25719667209200486,27.729,0.013296215664700016
100_20,"['95_10', '97_5']",3,0.2264925565820636,24.1614,0.016344479734556237
100_62,"['99_45', '97_54']",3,0.21650094089934388,24.7381,0.014279061432064038
100_82,"['99_2', '99_57']",3,0.20151197945386665,22.9317,0.01773487900126772
100_11,"['99_45', '99_82']",3,0.19101941906925152,19.554,0.01905121910609017
100_32,"['95_10', '98_36']",3,0.19021491918958286,24.4172,0.015501112434971645
100_36,"['99_88', '99_51']",3,0.17192763295702596,17.3356,0.019814337505072877
100_9,"['97_75', '96_22']",3,0.15599596952039668,26.0928,0.013438072248884755
100_16,"['99_59', '98_36']",3,0.1406092214075583,20.6899,0.018523826878949063
100_54,"['98_70', '99_40']",3,0.12138687424227187,22.8533,0.01833570606045949
100_26,"['99_10', '99_24']",4,inf,18.1357,0.02519819424434496
100_75,"['92_42', '97_5']",4,inf,48.9698,0.01125313059421408
100_44,"['99_45', '98_70']",4,0.7230605129986643,34.5778,0.011818132272009637
100_12,"['99_57', '98_70']",4,0.4916274955337938,31.57,0.013467002971223847
100_45,"['97_5', '95_10']",4,0.4707503849058419,18.3767,0.02024126954317974
100_10,"['98_70', '99_88']",4,0.31176257151421116,25.6083,0.014617353149911302
100_87,"['95_10', '99_45']",4,0.27777309402135625,24.7754,0.017017439343170064
100_56,"['95_10', '99_60']",4,0.22927525382561376,23.2898,0.01794330308044535
100_1,"['96_20', '99_51']",4,0.19912239370935847,25.5862,0.01510831196923501
100_72,"['99_76', '95_10']",4,0.18798521817999864,19.7345,0.019356625192903116
100_39,"['99_57', '98_70']",4,0.13614169392494538,21.9022,0.018915260789713277
100_14,"['99_82', '99_5']",4,0.1019522608065876,21.3605,0.018969260348294992
100_17,"['99_88', '92_42']",5,inf,51.0997,0.011397250721455237
