cand_id,parents,rank,distance,CO2 Equivalent Net Emissions,Average Energy Change Percent
60_3,"['59_85', '36_41']",1,inf,16.2265,0.021083654269621842
65_3,"['64_78', '62_67']",1,inf,57.7866,0.00802527976757367
65_47,"['62_39', '64_40']",1,0.34189585548414414,34.951,0.01128585816924226
66_1,"['65_59', '65_59']",1,0.2642243249064022,40.7433,0.01096171518026622
65_36,"['64_84', '64_30']",1,0.24558303075848736,50.0466,0.00892681539206215
65_24,"['64_20', '63_52']",1,0.23660502874191047,25.0637,0.012292964034344031
66_84,"['65_47', '65_11']",1,0.2285633857137872,23.928,0.013422465794370814
66_58,"['65_22', '60_3']",1,0.2162165733043291,16.944,0.019521387887189882
65_34,"['64_41', '64_78']",1,0.2117006996263981,54.0292,0.0086661767232047
66_68,"['65_19', '65_19']",1,0.20742925972300474,22.1727,0.01464800927952398
66_63,"['65_5', '60_3']",1,0.20679759252345825,21.4486,0.016850438237348764
66_70,"['63_52', '63_52']",1,0.19224504788970337,27.8477,0.011374462491411172
66_60,"['65_88', '65_36']",1,0.19068463189964968,46.8263,0.009609907613219828
62_46,"['60_26', '61_15']",1,0.1840882353652608,41.4713,0.00988422622063148
66_62,"['65_70', '60_3']",1,0.1594883948870143,20.4988,0.017812358668179235
66_6,"['65_88', '65_3']",1,0.13948821201671552,56.6666,0.008242382810956421
65_68,"['63_52', '63_52']",1,0.13732544909990108,27.7626,0.011537637670440037
66_5,"['63_52', '60_3']",1,0.1370947751788689,18.7332,0.018757760285533314
66_53,"['65_19', '65_5']",1,0.1360863724092868,22.2936,0.01440725216628357
66_78,"['64_40', '65_23']",1,0.10152890527868567,18.7027,0.019038250706759192
66_28,"['65_36', '62_39']",1,0.08896805495629058,44.9265,0.009872202734662506
65_5,"['61_43', '63_52']",1,0.07580239449742647,21.3672,0.017502716006784495
66_31,"['65_47', '65_34']",1,0.0657984664226125,45.1179,0.009868226526369475
66_32,"['65_22', '65_70']",1,0.05190952546080633,21.3975,0.017104878284658273
66_14,"['65_34', '65_34']",2,inf,54.1751,0.008672334337089334
66_20,"['65_70', '65_22']",2,inf,16.5461,0.021390134033448947
66_72,"['65_88', '65_63']",2,0.33412022246126866,22.1666,0.018191397880083972
65_19,"['61_43', '64_83']",2,0.2992710468634608,22.2009,0.014889926948936224
66_25,"['65_34', '65_47']",2,0.28242135165189747,45.4255,0.010184844584596635
66_67,"['65_34', '64_41']",2,0.23451273831338404,50.418,0.009777228031725623
66_88,"['65_59', '65_19']",2,0.22034312584752666,37.4949,0.011507181940472613
66_86,"['65_68', '65_5']",2,0.20060806301577944,29.7138,0.012611959105383607
66_49,"['65_83', '65_19']",2,0.19658209538305382,18.1463,0.01990212819870365
66_73,"['62_39', '65_55']",2,0.186723603503224,50.6786,0.00897779434894098
66_44,"['65_5', '65_36']",2,0.18303414207378602,27.4582,0.014783932701357997
66_51,"['65_68', '65_59']",2,0.17713659895015574,34.867,0.01235710177062862
66_82,"['65_48', '65_55']",2,0.16004485117950917,42.4692,0.010682481291697516
66_11,"['65_47', '62_67']",2,0.15468813406978804,41.1215,0.011412450953701673
66_18,"['65_70', '65_68']",2,0.14975082577905371,28.5969,0.014230841391550604
66_39,"['65_83', '65_24']",2,0.14804837310230515,23.4715,0.014826357028836194
66_85,"['65_47', '65_5']",2,0.13666625053852613,35.1679,0.012202540831894872
66_71,"['64_40', '65_5']",2,0.13110251013978402,20.5454,0.01857967731030936
66_76,"['65_68', '65_22']",2,0.13068637493132773,19.0873,0.01881799559877435
66_77,"['65_28', '65_48']",2,0.11335345775274709,28.9351,0.013378592405133205
66_21,"['65_63', '63_52']",2,0.11025260422023009,18.7652,0.01964005080611778
66_19,"['65_3', '64_40']",2,0.09321294213089094,41.9213,0.011035918058844503
66_7,"['65_70', '64_40']",2,0.08097448625929599,29.6594,0.01314833716695471
66_24,"['65_22', '65_22']",3,inf,18.7232,0.020237087984118364
66_38,"['62_46', '65_3']",3,inf,56.2794,0.008820055937660045
66_61,"['65_28', '65_36']",3,0.42871674238517044,30.3985,0.012906889131340466
66_42,"['65_36', '65_6']",3,0.408070965355383,52.0157,0.00932550576079127
66_36,"['65_48', '65_24']",3,0.3802262741920332,21.1439,0.018641408866383834
66_47,"['65_68', '65_59']",3,0.3439781222655661,46.6311,0.010545945578894125
66_2,"['64_40', '65_5']",3,0.3087922859725827,22.2278,0.01627722052933809
66_57,"['65_34', '65_19']",3,0.2794269743813965,38.0266,0.012259079774566198
