cand_id,parents,rank,distance,Net cumulative emissions,Total cost of energy,Cost of energy next 10 years
10_73,"['7_79', '9_42']",1,inf,-3482.42,-16.3074,-12.500121
10_68,"['7_38', '7_38']",1,inf,-5149.55,-12.8715,-9.918311
10_22,"['7_56', '7_56']",1,inf,-4042.16,-15.8477,-8.794182000000001
10_54,"['9_71', '7_79']",1,0.0,-3724.78,-14.8286,-11.987503
10_69,"['9_69', '9_11']",1,0.0,-3622.67,-15.4088,-11.667815
10_47,"['7_49', '9_12']",1,0.0,-3662.55,-15.4957,-11.543155
10_18,"['8_45', '9_12']",1,0.0,-3644.3,-16.0967,-11.338877999999998
10_3,"['9_47', '8_45']",1,0.0,-3697.5,-16.466,-11.331002000000002
8_45,"['7_9', '7_29']",1,0.0,-3690.35,-16.5153,-11.327515
10_55,"['9_66', '9_66']",1,0.0,-3696.37,-16.5677,-11.289758
10_61,"['8_45', '9_66']",1,0.0,-3709.21,-16.573,-11.265702000000001
9_66,"['8_45', '8_45']",1,0.0,-3703.56,-16.5815,-11.257449
10_33,"['9_69', '9_89']",1,0.0,-3805.22,-15.1569,-10.638243999999998
9_71,"['8_39', '8_24']",1,0.0,-3749.14,-15.4496,-10.590755
7_79,"['6_72', '6_80']",1,0.0,-3713.2,-17.079,-10.490761000000001
9_89,"['8_36', '7_49']",1,0.0,-3806.96,-14.2771,-10.261973999999999
10_9,"['9_50', '9_12']",1,0.0,-3846.87,-13.4179,-10.160614
10_83,"['9_80', '9_11']",1,0.0,-3881.27,-14.2609,-10.143618
10_21,"['9_50', '9_50']",1,0.0,-4104.88,-13.6762,-10.014992000000001
10_28,"['9_47', '9_11']",1,0.0,-3759.82,-15.455,-9.994243
10_67,"['7_79', '9_45']",1,0.0,-4077.17,-13.9097,-9.942271
10_72,"['9_88', '9_88']",1,0.0,-3898.97,-14.9209,-9.934403999999999
10_76,"['9_45', '9_89']",1,0.0,-3981.36,-14.3724,-9.931317000000002
10_87,"['9_45', '9_50']",1,0.0,-4093.71,-14.0184,-9.924488
10_0,"['8_45', '9_89']",1,0.0,-4016.81,-30.1472,-9.907023
10_75,"['9_24', '9_42']",1,0.0,-4074.16,-14.4227,-9.902503
10_71,"['7_56', '9_50']",1,0.0,-4651.02,-13.8819,-9.901811999999998
10_84,"['9_47', '9_24']",1,0.0,-4217.48,-15.4826,-9.894712
10_58,"['9_12', '9_54']",1,0.0,-4017.7,-17.2208,-9.880440000000002
10_52,"['7_56', '9_69']",1,0.0,-4323.07,-15.4229,-9.868858
10_14,"['9_47', '7_56']",1,0.0,-4357.33,-14.3063,-9.762523000000002
10_42,"['7_56', '9_47']",1,0.0,-4074.91,-15.8133,-9.629486
10_20,"['7_49', '7_56']",1,0.0,-4361.83,-14.2735,-9.316726
7_56,"['6_72', '6_23']",1,0.0,-4042.57,-15.8251,-8.797974
9_42,"['8_60', '7_79']",2,0.0,-3630.22,-16.2314,-12.053025
